date,store_location,product_detail,daily_qty
2023-01-01,Astoria,Brazilian Lg,8.0
2023-01-01,Astoria,Brazilian Rg,4.0
2023-01-01,Astoria,Brazilian Sm,5.0
2023-01-01,Astoria,Cappuccino,4.0
2023-01-01,Astoria,Cappuccino Lg,7.0
2023-01-01,Astoria,Chocolate Chip Biscotti,1.0
2023-01-01,Astoria,Chocolate Croissant,1.0
2023-01-01,Astoria,Columbian Medium Roast Lg,5.0
2023-01-01,Astoria,Columbian Medium Roast Rg,6.0
2023-01-01,Astoria,Columbian Medium Roast Sm,10.0
2023-01-01,Astoria,Cranberry Scone,1.0
2023-01-01,Astoria,Croissant,4.0
2023-01-01,Astoria,Dark chocolate Lg,7.0
2023-01-01,Astoria,Dark chocolate Rg,11.0
2023-01-01,Astoria,Earl Grey Lg,2.0
2023-01-01,Astoria,Earl Grey Rg,4.0
2023-01-01,Astoria,English Breakfast Lg,7.0
2023-01-01,Astoria,Espresso shot,3.0
2023-01-01,Astoria,Ethiopia Lg,4.0
2023-01-01,Astoria,Ethiopia Rg,6.0
2023-01-01,Astoria,Ethiopia Sm,4.0
2023-01-01,Astoria,Ginger Biscotti,1.0
2023-01-01,Astoria,Hazelnut Biscotti,3.0
2023-01-01,Astoria,Jamaican Coffee River Lg,10.0
2023-01-01,Astoria,Jamaican Coffee River Rg,9.0
2023-01-01,Astoria,Jamaican Coffee River Sm,8.0
2023-01-01,Astoria,Jumbo Savory Scone,5.0
2023-01-01,Astoria,Latte,10.0
2023-01-01,Astoria,Latte Rg,5.0
2023-01-01,Astoria,Lemon Grass Lg,9.0
2023-01-01,Astoria,Lemon Grass Rg,10.0
2023-01-01,Astoria,Morning Sunrise Chai Lg,13.0
2023-01-01,Astoria,Morning Sunrise Chai Rg,9.0
2023-01-01,Astoria,Our Old Time Diner Blend Lg,5.0
2023-01-01,Astoria,Our Old Time Diner Blend Rg,7.0
2023-01-01,Astoria,Our Old Time Diner Blend Sm,5.0
2023-01-01,Astoria,Peppermint Lg,2.0
2023-01-01,Astoria,Peppermint Rg,8.0
2023-01-01,Astoria,Scottish Cream Scone ,1.0
2023-01-01,Astoria,Serenity Green Tea Lg,6.0
2023-01-01,Astoria,Serenity Green Tea Rg,9.0
2023-01-01,Astoria,Spicy Eye Opener Chai Lg,3.0
